length	cima	cima_log
10000	0.017000	0.000000
20000	0.031000	0.000000
30000	0.075000	0.001000
40000	0.060000	0.000000
50000	0.132000	0.001000
60000	0.089000	0.001000
70000	0.104000	0.001000
80000	0.118000	0.000000
90000	0.135000	0.001000
100000	0.149000	0.001000
110000	0.165000	0.000000
120000	0.179000	0.001000
130000	0.200000	0.001000
140000	0.221000	0.001000
150000	0.222000	0.000000
160000	0.239000	0.000000
170000	0.253000	0.001000
180000	0.266000	0.000000
190000	0.284000	0.001000
200000	0.298000	0.000000
210000	0.326000	0.000000
220000	0.328000	0.001000
230000	0.348000	0.001000
240000	0.363000	0.001000
250000	0.378000	0.000000
260000	0.414000	0.001000
270000	0.438000	0.001000
280000	0.453000	0.001000
290000	0.446000	0.000000
300000	0.454000	0.001000
310000	0.482000	0.001000
320000	0.715000	0.000000
330000	0.461000	0.000000
340000	0.469000	0.001000
350000	0.466000	0.000000
360000	0.491000	0.001000
370000	1.021000	0.001000
380000	0.493000	0.000000
390000	0.509000	0.001000
400000	0.552000	0.001000
410000	0.533000	0.001000
420000	0.553000	0.000000
430000	0.568000	0.000000
440000	0.591000	0.001000
450000	0.584000	0.000000
460000	0.738000	0.000000
470000	0.629000	0.001000
480000	0.626000	0.001000
490000	0.636000	0.000000
500000	0.664000	0.001000
510000	0.677000	0.000000
520000	0.714000	0.000000
530000	0.902000	0.001000
540000	0.705000	0.000000
550000	0.728000	0.000000
560000	0.745000	0.000000
570000	0.742000	0.001000
580000	0.776000	0.000000
590000	0.770000	0.000000
600000	0.792000	0.000000
610000	0.810000	0.001000
620000	0.826000	0.001000
630000	0.835000	0.001000
640000	0.844000	0.001000
650000	1.451000	0.002000
660000	1.186000	0.001000
670000	1.012000	0.000000
680000	1.029000	0.000000
690000	1.046000	0.001000
700000	1.049000	0.001000
710000	1.048000	0.001000
720000	1.248000	0.001000
730000	0.981000	0.000000
740000	0.979000	0.001000
750000	1.143000	0.000000
760000	0.988000	0.001000
770000	1.023000	0.000000
780000	1.014000	0.000000
790000	1.048000	0.001000
800000	1.056000	0.000000
810000	1.066000	0.001000
820000	2.447000	0.001000
830000	1.963000	0.001000
840000	1.676000	0.001000
850000	1.574000	0.001000
860000	1.548000	0.001000
870000	1.552000	0.000000
880000	1.430000	0.000000
890000	1.281000	0.000000
900000	1.170000	0.000000
910000	1.208000	0.000000
920000	1.210000	0.001000
930000	1.330000	0.001000
940000	1.242000	0.000000
950000	1.234000	0.000000
960000	1.358000	0.001000
970000	1.291000	0.001000
980000	1.363000	0.001000
990000	1.734000	0.001000
